"分区","name / Fin Type","code / Code","thicknessMm / Fin Gage (mm)","widthMm / Fin Width (mm)","heightPreBrazingMm / Fin Height Pre-Brazing (mm)","brazingChangeMm / Change During Brazing (mm)","heightPostBrazingMm / Fin Height Post-Brazing (mm)","finPitchMm / Fin Pitch (mm)","finPitchRangeMm / Range of  fin  pitch     (Just for sample) (mm)","rMm / R (mm)","louverLengthFullMm / Louver Length (Full) (mm)","louverLengthOverallMm / Louver Length (Overall) (mm)","louverPitchMm / Louver Pitch (mm)","louverAngleDeg / Louver Angle (°)","louverCount / Louver Number","drawing / Drawing #for mold &Revison","oldDrawing / Old Drawing #&Revison","status / Status","moldCount / Count of mold (ul)","material / Material","clad / Clad","weightPerLengthGm / Weight Per Unit Length (g/m)","product / Product  Where Used","processStatus / Process status","sourceColumnY / 未标注表头","sourceColumnZ / 未标注表头","sourceColumnAA / 未标注表头","stockWidthMm / 料宽 (mm)","sourceColumnE / 未标注表头","sourceColumnF / 未标注表头","sourceColumnG / 未标注表头","sourceColumnJ / 未标注表头","sourceColumnK / 未标注表头","slotLengthMm / 扁槽长度 (mm)","sourceColumnM / 未标注表头","slotPitchMm / 槽间距 (mm)","slotWidthMm / 扁槽宽度 (mm)","来源区域","待核对项"
"主表","B01","310010","0.1","16","8.13","0.03","8.1","1.4","1.3~1.5","≤0.45","6.2","7","1.4","29","8","B01-M001  Rev.S0","121-01Grr  Rev.S0 B01-0000  Rev.A0","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","26.80 ","1G16","OK","批量","常规","","","","","","","","","","","","Fin!A6:AA6","I6: Range of  fin  pitch     (Just for sample) 原文为 ""1.3~1.5""，不能作为单一数值使用；J6: R 原文为 ""≤0.45""，不能作为单一数值使用；Y6: 本分区该列没有表头，保留原值，未猜测字段含义；Z6: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B02","310020","0.1","16","8.15","0.05","8.1","1.2","1.1~1.3","≤0.6","6.2","6.8","1.5","29","8","B02-M001  Rev.S0","B05-0000  Rev.A0","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","31.26 ","1G16B","","研发刀具","常规","","","","","","","","","","","","Fin!A7:AA7","I7: Range of  fin  pitch     (Just for sample) 原文为 ""1.1~1.3""，不能作为单一数值使用；J7: R 原文为 ""≤0.6""，不能作为单一数值使用；Y7: 本分区该列没有表头，保留原值，未猜测字段含义；Z7: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B04","310040","0.08","16","6.53","0.03","6.5","1.1","1.1-1.2","≤0.45","4.9 ","5.6","1.1","27","12","","B07-0000  Rev.A0","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","34.11 ","5G16 CON","checking","批量","常规","","","","","","","","","","","","Fin!A8:AA8","I8: Range of  fin  pitch     (Just for sample) 原文为 ""1.1-1.2""，不能作为单一数值使用；J8: R 原文为 ""≤0.45""，不能作为单一数值使用；Y8: 本分区该列没有表头，保留原值，未猜测字段含义；Z8: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B05","310050","0.08","16","6.53","0.03","6.5","1.6","","≤0.45","4.3 ","5.6","1.65","45","8","","121-05001  Rev.S1  B08-0000  Rev.A0","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","23.45 ","5G16 EV/HP","checking","批量","常规","","","","","","","","","","","","Fin!A9:AA9","I9: Range of  fin  pitch     (Just for sample) 原文为 空白，不能作为单一数值使用；J9: R 原文为 ""≤0.45""，不能作为单一数值使用；Y9: 本分区该列没有表头，保留原值，未猜测字段含义；Z9: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B06","310060","0.08","16","8.13","0.03","8.1","1.1","1.1~1.2","≤0.45","6.0 ","7","1.1","27","12","B06-M001  Rev.S1","B10-0000  Rev.S2","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","34.11 ","2G16","","批量","常规","","","","","","","","","","","","Fin!A10:AA10","I10: Range of  fin  pitch     (Just for sample) 原文为 ""1.1~1.2""，不能作为单一数值使用；J10: R 原文为 ""≤0.45""，不能作为单一数值使用；Y10: 本分区该列没有表头，保留原值，未猜测字段含义；Z10: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B08","310080","0.09","16","11.43","0.03","11.4","1.1","1.1~1.2","≤0.45","9.5 ","10.2","1.06","27","12","B08-M001  Rev.02","B08-M001  Rev.01","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","34.11 ","3G16 Option 2","OK","批量","常规","","","","","","","","","","","","Fin!A11:AA11","I11: Range of  fin  pitch     (Just for sample) 原文为 ""1.1~1.2""，不能作为单一数值使用；J11: R 原文为 ""≤0.45""，不能作为单一数值使用；Y11: 本分区该列没有表头，保留原值，未猜测字段含义；Z11: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B09","310090","0.08","16","8.13","0.03","8.1","1.6","1.5-1.7","≤0.45","6.0 ","7","1.1","40","12","B09-M001 Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","23.45 ","E116","OK","批量","常规","1","","","","","","","","","","","Fin!A12:AA12","I12: Range of  fin  pitch     (Just for sample) 原文为 ""1.5-1.7""，不能作为单一数值使用；J12: R 原文为 ""≤0.45""，不能作为单一数值使用；Y12: 本分区该列没有表头，保留原值，未猜测字段含义；Z12: 本分区该列没有表头，保留原值，未猜测字段含义；AA12: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B0a","310100","0.08","16","8.13","0.03","8.1","1.6","1.5-1.7","≤0.45","6.0 ","7","1.1","45","12","B0a-M001 Rev.S1","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","23.45 ","E216","OK","批量","常规","1","","","","","","","","","","","Fin!A13:AA13","I13: Range of  fin  pitch     (Just for sample) 原文为 ""1.5-1.7""，不能作为单一数值使用；J13: R 原文为 ""≤0.45""，不能作为单一数值使用；Y13: 本分区该列没有表头，保留原值，未猜测字段含义；Z13: 本分区该列没有表头，保留原值，未猜测字段含义；AA13: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B0e","310140","0.08","16","11.43","0.03","11.4","1.6","1.5-1.7","≤0.45","9.0 ","10.1","1.34","45","10","B0e-M001  Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","23.45 ","H1164","","批量","常规","1","","","","","","","","","","","Fin!A14:AA14","I14: Range of  fin  pitch     (Just for sample) 原文为 ""1.5-1.7""，不能作为单一数值使用；J14: R 原文为 ""≤0.45""，不能作为单一数值使用；Y14: 本分区该列没有表头，保留原值，未猜测字段含义；Z14: 本分区该列没有表头，保留原值，未猜测字段含义；AA14: 本分区该列没有表头，保留原值，未猜测字段含义"
"主表","B0eA","","0.08","16","11.43","0.03","11.4","1.4","1.3-1.4","≤0.45","9.0 ","10.1","1.34","45","10","B0e-M001  Rev.S0","","Available","","AA3003Mod-H14SR","(AA4343)10±2% for each side","26.80 ","H1164","","批量","常规","大明市新开","","","","","","","","","","","Fin!A15:AA15","I15: Range of  fin  pitch     (Just for sample) 原文为 ""1.3-1.4""，不能作为单一数值使用；J15: R 原文为 ""≤0.45""，不能作为单一数值使用；Y15: 本分区该列没有表头，保留原值，未猜测字段含义；Z15: 本分区该列没有表头，保留原值，未猜测字段含义；AA15: 本分区该列没有表头，保留原值，未猜测字段含义；B15: Code/ERP 空白或为说明文字；未补造编号，原文保留"
