"模具号","管宽 (mm)","管高 (mm)","孔数","缩口宽度 (mm)","缩口长度 (mm)","孔宽 (mm)","孔高 (mm)","Nose (mm)","壁厚 (mm)","筋厚 (mm)","材料截面积 (mm2)","流通截面积 (mm2)","设计压力 (MPa)","焊前压力 (MPa)","应用范围","来源区域","待核对项"
"A01S","16","1.8","10","15.4","5.8","1.12","1","0.5","0.4","0.42","17.2793 ","10.8254 ","13.50 ","≥25","","总表!A3:P3",""
"A04S","16","1.3","16","15.4","5.8","0.630 ","0.74","0.7","0.28","0.3","13.3808 ","7.0565 ","13.50 ","≥25","","总表!A4:P4",""
"A05","16","1.8","1","/","/","15.360 ","1.16","0.32","0.32","/","10.5759 ","17.5288 ","0.60 ","","CR水箱","总表!A5:P5","缩口宽度 原文为 ""/""，不能作为单一数值使用；缩口长度 原文为 ""/""，不能作为单一数值使用；筋厚 原文为 ""/""，不能作为单一数值使用"
"A08","16","1.8","16","15.4","5.8","0.63内齿","1.24","0.7","0.28","0.3","15.8890 ","12.2157 ","13.50 ","","","总表!A6:P6","孔宽 原文为 ""0.63内齿""，不能作为单一数值使用"
"A010S","16","1.3","16","15.4","5.8","非均匀","0.74","0.61/0.50","0.28","0.32/0.31/0.27","13.1109 ","7.3264 ","","","数据中心蒸发器","总表!A7:P7","孔宽 原文为 ""非均匀""，不能作为单一数值使用；Nose 原文为 ""0.61/0.50""，不能作为单一数值使用；筋厚 原文为 ""0.32/0.31/0.27""，不能作为单一数值使用"
"A10","16","1.8","14","15.4","5.8","0.770 ","1.1","0.5","0.35","0.3","16.4144 ","11.6903 ","13.50 ","","","总表!A8:P8",""
"A21S","20","2","12","19.4","7.3","1.19","1.2","0.5","0.4","0.45","22.8106 ","16.3310 ","13.50 ","≥25","","总表!A9:P9",""
"A26S1","25.4","2","14","24.8","8.6","1.44","1.36","0.68","0.32","0.3","23.2081 ","26.7335 ","","","低压chiller","总表!A10:P10",""
"A31S","20.6","1.3","20","20","7.8","0.675","0.74","0.7","0.28","0.3","16.9248 ","9.4925 ","13.50 ","≥25","","总表!A11:P11",""
"A36S","16","1.8","16","15.4","5.3","0.71","1.16","0.5","0.32","0.22","15.1215 ","12.9832 ","","","LG","总表!A12:P12",""
"A37S","20.6","1.3","20","20","7.8","非均匀","0.74","0.76/0.72","0.28","0.32/0.28","17.0681 ","9.3492 ","13.5","","","总表!A13:P13","孔宽 原文为 ""非均匀""，不能作为单一数值使用；Nose 原文为 ""0.76/0.72""，不能作为单一数值使用；筋厚 原文为 ""0.32/0.28""，不能作为单一数值使用"
"A39S","20.6","1","23","20","7.8","0.52","0.44","0.69","0.28","0.33","15.6045 ","4.7809 ","13.5","","","总表!A14:P14",""
"A42S","25.4","1.3","26","24.8","8.6","0.635 ","0.74","0.7","0.28","0.3","21.0648 ","11.5925 ","13.50 ","≥25","","总表!A15:P15",""
"A43S","25.4","2","20","24.8","8.6","0.850 ","1.36","0.7","0.32","0.37","27.6393 ","22.3023 ","13.50 ","≥25","","总表!A16:P16",""
"A44S","25.4","2","14","24.8","8.6","1.150 ","0.86","0.8","0.57","0.56","36.1531 ","13.7885 ","13.50 ","≥25","储能","总表!A17:P17",""
"A45U","25.4","1.3","18","24.8","1","0.946","0.66","0.7","0.32","0.41","21.8510 ","10.8063 ","13.5","","","总表!A18:P18",""
"A47S","25.4","1.3","26","24.8","8.6","0.64","0.7","0.63","0.3","0.3","21.6145 ","11.0428 ","13.50 ","≥25","TR","总表!A19:P19",""
"A48","25.4","2","3","/","/","7.74/2-7.79","1.36","0.6","0.32","0.44","18.6633 ","31.2783 ","0.60 ","2.3 ","ThermoKing水箱","总表!A20:P20","缩口宽度 原文为 ""/""，不能作为单一数值使用；缩口长度 原文为 ""/""，不能作为单一数值使用；孔宽 原文为 ""7.74/2-7.79""，不能作为单一数值使用"
"A51S","32","2","25","31.4","9.1","0.859","1.36","0.7","0.32","0.38","34.8057 ","28.3359 ","13.50 ","≥25","","总表!A21:P21",""
"A52S","32","1.3","32","31.4","9.1","0.656","0.74","0.7","0.28","0.31","26.4422 ","14.7951 ","13.50 ","≥25","","总表!A22:P22",""
"A55","32","2","8","/","/","3.4","1.36","0.65","0.32","0.5","26.6865 ","36.4551 ","3","","水箱","总表!A23:P23","缩口宽度 原文为 ""/""，不能作为单一数值使用；缩口长度 原文为 ""/""，不能作为单一数值使用"
"A56S","32","1.3","32","31.4","9.1","非均匀","0.74","0.69/0.65","0.28","0.32/0.28","26.3952 ","14.8421 ","13.50 ","","","总表!A24:P24","孔宽 原文为 ""非均匀""，不能作为单一数值使用；Nose 原文为 ""0.69/0.65""，不能作为单一数值使用；筋厚 原文为 ""0.32/0.28""，不能作为单一数值使用"
"A57S6","12","1.2","12","11.4","5.9","0.67","0.64","0.6","0.28","0.25","9.2469 ","4.8441 ","","","","总表!A25:P25",""
"A61S","12","1","12","11.4","5.7","0.68","0.52","0.5","0.24","0.26","7.8306 ","3.9548 ","13.50 ","≥20","","总表!A26:P26",""
"A62S","12","1.5","14","11.4","5.7","0.55","0.94","0.5","0.28","0.25","10.6818 ","6.8354 ","13.50 ","≥25","","总表!A27:P27",""
"A64S1","12","2","8","11.4","7.7","0.7","0.7/1.0","0.75","0.65","0.70","19.4667 ","3.6748 ","","","","总表!A28:P28","孔高 原文为 ""0.7/1.0""，不能作为单一数值使用"
"A66S1","12","1.5","11","11.4","5.7","0.79内齿","1","0.45","0.25","0.22","9.7299 ","7.7873 ","13.5","","","总表!A29:P29","孔宽 原文为 ""0.79内齿""，不能作为单一数值使用"
"A67S1","12","2","8","11.4","7.7","φ0.7","0.7","0.75","0.65","0.70","19.4667 ","3.6748 ","34.5","≥34.5","CO2项目","总表!A30:P30","孔宽 原文为 ""φ0.7""，不能作为单一数值使用"
"A69S","12","1.8","7","11.4","5.7","1.3","1.3","0.5","0.25","0.30","9.4274 ","11.4773 ","","","","总表!A31:P31",""
"A71S","25.4","1.3","32","24.8","7.8","0.41","0.74","0.55 ","0.28","0.36","23.6712 ","8.9861 ","13.50 ","","","总表!A32:P32",""
"A72S","25.4","1.3","36","24.8","8.6","0.36","0.74","0.6","0.28","0.32","23.8548 ","8.8025 ","13.50 ","≥25","","总表!A33:P33",""
"A75S1","25.4","2","20","24.8","8.6","0.85","X形","0.6","0.32","0.35","26.8505 ","23.0911 ","13.50 ","","","总表!A34:P34","孔高 原文为 ""X形""，不能作为单一数值使用"
"A76S","25.4","1.3","26","24.8","8.6","非均匀","0.74","0.54/0.5","0.28","0.32/0.28","20.8450 ","11.8120 ","13.50 ","","","总表!A35:P35","孔宽 原文为 ""非均匀""，不能作为单一数值使用；Nose 原文为 ""0.54/0.5""，不能作为单一数值使用；筋厚 原文为 ""0.32/0.28""，不能作为单一数值使用"
"A81S","8","1.5","10","7.6","4.5","0.54","0.94","0.4","0.28","0.20","6.8108 ","4.7064 ","13.5","","","总表!A36:P36",""
"A83S","16","1.8","18","1.4","5.8","0.60 ","1.12","0.5","0.34","0.23","16.2931 ","11.8116 ","","","","总表!A37:P37",""
"A90S9","16","1.44","16","15.4","8","0.64内齿","0.74","0.6","0.35","0.30","15.3905 ","7.2045 ","13.5","","热水器","总表!A38:P38","孔宽 原文为 ""0.64内齿""，不能作为单一数值使用"
"A941","25.4","2","5","/","/","4.5","1.2","0.7","0.4","0.40","23.4506 ","26.4910 ","","","水箱","总表!A39:P39","缩口宽度 原文为 ""/""，不能作为单一数值使用；缩口长度 原文为 ""/""，不能作为单一数值使用"
"A95S1","16","1.44","16","15.4","8","0.64","0.74","0.6","0.35","0.30","15.3905 ","7.2045 ","13.5","","热水器","总表!A40:P40",""
"A96S","25.4","1.3","18","24.8","8.6","0.95","0.66","0.7","0.32","0.41","21.8510 ","10.8063 ","13.5","","热水器","总表!A41:P41",""
"A98S1","38","1.8","28","37.4","8.6","0.92","1.1","0.7","0.35","0.40","40.1244 ","27.5803 ","13.5","","Munters","总表!A42:P42",""
"A106S1","36","3","18","35.4","10","1.54","2.36","0.7","0.32","0.40","41.9958 ","64.0728 ","","","储能","总表!A43:P43",""
"A108S","25.4","1.3","28","24.8","8.6","0.6","0.7","0.5","0.3","0.28","21.5145 ","11.1428 ","","","CR","总表!A44:P44",""
"A1231","32","2","6","/","/","4.8.1","1.4","0.6","0.3","0.38","23.2022 ","39.9394 ","","","水箱","总表!A45:P45","缩口宽度 原文为 ""/""，不能作为单一数值使用；缩口长度 原文为 ""/""，不能作为单一数值使用；孔宽 原文为 ""4.8.1""，不能作为单一数值使用"
"A126W","16","1.8","10","15.4","6","φ0.7","φ0.7","1.11","0.55","0.70","23.8714 ","4.2333 ","34.5","≥34.5","CO2项目","总表!A46:P46","孔宽 原文为 ""φ0.7""，不能作为单一数值使用；孔高 原文为 ""φ0.7""，不能作为单一数值使用"
"A127W","25.4","1.3","22","24.8","8.6","非均匀","0.74","0.8/0.56","0.28","多种","21.6928 ","10.9645 ","","","","总表!A47:P47","孔宽 原文为 ""非均匀""，不能作为单一数值使用；Nose 原文为 ""0.8/0.56""，不能作为单一数值使用；筋厚 原文为 ""多种""，不能作为单一数值使用"
"A128U","32","1.3","28","31.6","10.6","非均匀","0.74","0.67/0.65","0.28","多种","26.1345 ","15.1028 ","","","","总表!A48:P48","孔宽 原文为 ""非均匀""，不能作为单一数值使用；Nose 原文为 ""0.67/0.65""，不能作为单一数值使用；筋厚 原文为 ""多种""，不能作为单一数值使用"
"A132S","16","1","18","15.4","5.8","0.44","0.4","0.64","0.3","0.40","12.9917 ","2.7937 ","","","","总表!A49:P49",""
"A135S","20.6","1.3","10","20","7.8","0.68","0.74","0.7","0.28","1.38","21.6976 ","4.7197 ","","","","总表!A50:P50",""
"A136S1","32","1.3","30","31.4","10.6","0.7圆孔","0.7","0.57","0.3","0.34","29.6920 ","11.5450 ","","","","总表!A51:P51","孔宽 原文为 ""0.7圆孔""，不能作为单一数值使用"
"A137U","16","1","17","15.4","9.8","0.44","0.44","0.66","0.28","0.45","12.8557 ","2.9297 ","","","","总表!A52:P52",""
"A138S","32","1.3","28","31.4","9.1","0.8","0.7","0.7","0.3","0.30","26.1325 ","15.1048 ","","","","总表!A53:P53",""
"A139S1","32","1.3","24","31.4","10.6","φ0.7","φ0.7","0.7","0.3","0.60","32.0010 ","9.2360 ","","","","总表!A54:P54","孔宽 原文为 ""φ0.7""，不能作为单一数值使用；孔高 原文为 ""φ0.7""，不能作为单一数值使用"
"A140S1","25.4","1.3","26","24.8","8.6","非均匀","0.74","0.74","0.28","多种","20.8452 ","11.8121 ","","","","总表!A55:P55","孔宽 原文为 ""非均匀""，不能作为单一数值使用；筋厚 原文为 ""多种""，不能作为单一数值使用"
"A143S","32","2","18","31.4","9.1","1.47内齿","1.3","0.5","0.35","0.30","30.1743 ","32.9673 ","","9.00 ","热管","总表!A56:P56","孔宽 原文为 ""1.47内齿""，不能作为单一数值使用"
"A144S","20.6","2","12","20","7.8","1.4内齿","1.3","0.5","0.35","0.30","19.7343 ","20.6073 ","","9.00 ","热管","总表!A57:P57","孔宽 原文为 ""1.4内齿""，不能作为单一数值使用"
"A145S","16","1.8","9","15.4","5.8","1.47内齿","1.1","0.5","0.35","0.30","14.6644 ","13.4403 ","","9.00 ","热管","总表!A58:P58","孔宽 原文为 ""1.47内齿""，不能作为单一数值使用"
"A147S1","25.4","1.17","21","24.8","8.6","0.95","0.57","0.62","0.3","0.26/0.22","18.6630 ","10.7610 ","","","CR","总表!A59:P59","筋厚 原文为 ""0.26/0.22""，不能作为单一数值使用"
"A149S1","25.4","1.3","14","24.8","8.6","1.44","1.44","0.68","0.28","0.30","18.1312 ","14.5261 ","","","低压chiller","总表!A60:P60","原表孔高大于管高，需核对；未自动修改"
"A153S1","25.4","1.8","14","24.8","8.6","1.45","1.2","0.7","0.3","0.32","21.7857 ","23.2390 ","","","CR","总表!A61:P61",""
"A162S","12","1.5","11","11.4","5.7","0.77","0.94","0.5","0.28","0.25","9.9168 ","7.6004 ","","","","总表!A62:P62",""
"A166S","12","1.3","12","11.4","5.7","0.63","0.74","0.7","0.28","0.28","10.0100 ","5.2273 ","","","Goodman","总表!A63:P63",""
"A167S","16","1.3","12","15.4","5.8","0.862","0.66","0.76","0.32","0.375","13.9165 ","6.5208 ","","","","总表!A64:P64",""
"A168S6","36","2","26","35.4","11","0.955","1.34","1","0.33","0.37","38.8619 ","32.2797 ","","","","总表!A65:P65",""
"A184S","12","1.5","12","11.4","5.7","0.66","0.86","0.5","0.32","0.28","11.0847 ","6.4325 ","","","印度LG","总表!A66:P66",""
"A192S1","16","1.3","16","15.4","5.8","非均匀","0.7","0.5","3","多种","12.5690 ","7.8683 ","","","","总表!A67:P67","孔宽 原文为 ""非均匀""，不能作为单一数值使用；筋厚 原文为 ""多种""，不能作为单一数值使用；原表壁厚不小于管高，需核对；未自动修改"
"A193S1","20.6","1.3","20","20","7.8","非均匀","0.74","0.4/0.5","0.28","多种","16.1106 ","10.3067 ","","","","总表!A68:P68","孔宽 原文为 ""非均匀""，不能作为单一数值使用；Nose 原文为 ""0.4/0.5""，不能作为单一数值使用；筋厚 原文为 ""多种""，不能作为单一数值使用"
"A194S1","25.4","1.3","20","24.8","8.6","0.838","0.5","1","0.4","0.35","24.7160 ","7.9413 ","","","张月：R290加厚扁管","总表!A69:P69",""
"A195S1","25.4","2","16","24.8","8.6","1.069","1.2","1","0.4","0.42","30.0306 ","19.9110 ","","","张月：R290加厚扁管","总表!A70:P70",""
"A197S1","32","1.3","32","31.4","9.1","非均匀","0.74","0.5","0.28","多种","25.7458 ","15.4915 ","","","","总表!A71:P71","孔宽 原文为 ""非均匀""，不能作为单一数值使用；筋厚 原文为 ""多种""，不能作为单一数值使用"
"A198S1","32","1.3","25","31.4","9.1","0.854","0.6","1.01","0.35","0.36","28.9906 ","12.2467 ","","","张月：R290加厚扁管","总表!A72:P72",""
"A199S1","32","2","18","31.4","9.1","1.213","1.2","1","0.4","0.48","37.5826 ","25.5590 ","","","张月：R290加厚扁管","总表!A73:P73",""
"A202","25.4","1.3","26","24.8","8.6","0.715","0.8","0.7","0.25","0.22","18.4947 ","14.1627 ","","","绿能","总表!A74:P74",""
"A206S","16","1","15","15.4","5.8","0.76","0.62","0.6","0.28","0.28","11.3197 ","4.4657 ","","","","总表!A75:P75",""
"A209","12","1.4","12","？","？","0.778","0.88","0.5","0.26","0.18","8.8280 ","7.5514 ","","","绿能","总表!A76:P76","缩口宽度 原文为 ""？""，不能作为单一数值使用；缩口长度 原文为 ""？""，不能作为单一数值使用"
"A219","25.4","2","20","24.8","7","0.85","1.36","0.7","0.32","0.37","27.6393 ","22.3023 ","蛇形管11Mpa，平行流13.5","","蛇形管","总表!A77:P77",""
"A227","25.4","2","13","24.8","8","1.5","1.34","1","0.33","0.33","24.5173 ","25.4243 ","","","","总表!A78:P78",""
"A230S","16","1.8","4","15.7","3.5","3.475","1.1","0.35","0.35","0.35","12.7494 ","15.3553 ","","","","总表!A79:P79",""
"A240S","16","1.8","10","15.4","5.8","1.12","1.24","0.5","0.28","0.42","14.7019 ","13.4028 ","","","","总表!A80:P80",""
"A246S","16","1.8","12","15.4","5.3","1","1.3","0.3","0.3","0.3","14.1137 ","13.9910 ","","","","总表!A81:P81",""
"A248S6","32","2","16","31.4","9.1","1.6","1.36","0.7","0.32","0.38","29.9745 ","33.1671 ","","","","总表!A82:P82",""
"A252S1","25.4","1.3","14","25","8.6","1.5","0.74","0.64","0.28","0.24","17.4948 ","15.1625 ","12","","","总表!A83:P83",""
"A253S1","25.4","2","14","25","8.6","1.5","1.36","0.64","0.32","0.24","22.0385 ","27.9031 ","12","","","总表!A84:P84",""
"A255S6","36","2","12","35.4","11","2.54","1.34","1","0.33","0.31","30.7563 ","40.3853 ","","","","总表!A85:P85",""
"A320S","20.6","2","14","20","7.7","φ0.7圆孔","φ0.7","0.75","0.65","0.71","34.9540 ","5.3876 ","","","","总表!A86:P86","孔宽 原文为 ""φ0.7圆孔""，不能作为单一数值使用；孔高 原文为 ""φ0.7""，不能作为单一数值使用"
"A330S","20","2","20","19.4","7.3","非均匀","0.7","0.75","0.65","0.71","23.4599 ","15.6817 ","","","","总表!A87:P87","孔宽 原文为 ""非均匀""，不能作为单一数值使用"
"A411S","25.4","1.8","20","24.8","8.6","0.85","1.36","0.7","0.24","0.37","23.3782 ","21.6465 ","13.5","≥25","","总表!A88:P88",""
"A423S1","25.4","1.3","26","24.8","8","0.67","0.9","0.2","0.2","0.3","17.5812 ","15.0762 ","","","","总表!A89:P89",""
"A5136","32","3.7","6","/","/","4.45","2.5","0.9","0.6","0.6","48.9034 ","66.5587 ","","","","总表!A90:P90","缩口宽度 原文为 ""/""，不能作为单一数值使用；缩口长度 原文为 ""/""，不能作为单一数值使用"
"A720S","25.4","1","36","24.8","8.6","0.36","0.44","0.6","0.28","0.32","20.2069 ","4.9785 ","13.50 ","≥25","冷冻冷藏","总表!A91:P91",""
