"序号","类别","介质标识","介质说明","浓度值(%)","浓度基准","来源","待核对"
"1","制冷剂","R134a","制冷剂","","未提供","冷媒清单!A3:E3","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"2","制冷剂","R22","制冷剂","","未提供","冷媒清单!A4:E4","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"3","制冷剂","R290","制冷剂","","未提供","冷媒清单!A5:E5","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"4","制冷剂","R32","制冷剂","","未提供","冷媒清单!A6:E6","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"5","制冷剂","R404A","制冷剂","","未提供","冷媒清单!A7:E7","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"6","制冷剂","R407C","制冷剂","","未提供","冷媒清单!A8:E8","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"7","制冷剂","R407H","制冷剂","","未提供","冷媒清单!A9:E9","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"8","制冷剂","R410A","制冷剂","","未提供","冷媒清单!A10:E10","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"9","制冷剂","R448A","制冷剂","","未提供","冷媒清单!A11:E11","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"10","制冷剂","R449A","制冷剂","","未提供","冷媒清单!A12:E12","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"11","制冷剂","R452A","制冷剂","","未提供","冷媒清单!A13:E13","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"12","制冷剂","R452B","制冷剂","","未提供","冷媒清单!A14:E14","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"13","制冷剂","R454B","制冷剂","","未提供","冷媒清单!A15:E15","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"14","制冷剂","R454C","制冷剂","","未提供","冷媒清单!A16:E16","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"15","制冷剂","R455A","制冷剂","","未提供","冷媒清单!A17:E17","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"16","制冷剂","R466A","制冷剂","","未提供","冷媒清单!A18:E18","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"17","制冷剂","R507A","制冷剂","","未提供","冷媒清单!A19:E19","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"18","制冷剂","R513A","制冷剂","","未提供","冷媒清单!A20:E20","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"19","制冷剂","R1234yf","制冷剂","","未提供","冷媒清单!A21:E21","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"20","制冷剂","R1234zez","制冷剂","","未提供","冷媒清单!A22:E22","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"21","制冷剂","R1233zde","制冷剂","","未提供","冷媒清单!A23:E23","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"22","制冷剂","R1234zee","制冷剂","","未提供","冷媒清单!A24:E24","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
"23","制冷剂","R515A","制冷剂","","未提供","冷媒清单!A25:E25","原表未提供浓度，不补成0%或100%；目录未提供物性、适用工况或DLL映射；原表序号不是已验证的DLL编码"
